"","date","depth","reg","month","yday"
"3",1996-01-12,102,"1","01",11
"4",1996-02-13,94,"1","02",43
"5",1996-03-13,48,"1","03",72
"6",1996-04-16,48,"1","04",106
"7",1996-05-09,30,"1","05",129
"8",1996-06-12,81,"1","06",163
"9",1996-07-10,108,"1","07",191
"10",1996-08-06,86,"1","08",218
"11",1996-09-10,125,"1","09",253
"12",1996-10-09,108,"1","10",282
"13",1996-11-10,102,"1","11",314
"14",1996-12-11,114,"1","12",345
"15",1997-01-07,63,"1","01",6
"16",1997-02-13,46,"1","02",43
"17",1997-03-13,18,"1","03",71
"18",1997-04-15,31,"1","04",104
"19",1997-05-10,56,"1","05",129
"20",1997-06-17,112,"1","06",167
"21",1997-07-08,83,"1","07",188
"22",1997-08-17,48,"1","08",228
"23",1997-09-17,113,"1","09",259
"24",1997-10-14,123,"1","10",286
"25",1997-11-13,68,"1","11",316
"26",1997-12-17,45,"1","12",350
"27",1998-01-14,90,"1","01",13
"28",1998-02-11,90,"1","02",41
"29",1998-03-12,40,"1","03",70
"30",1998-04-21,87,"1","04",110
"31",1998-06-09,115,"1","06",159
"32",1998-07-09,72,"1","07",189
"33",1998-08-05,109,"1","08",216
"34",1998-09-01,117,"1","09",243
"35",1998-10-14,110,"1","10",286
"36",1998-11-10,122,"1","11",313
"37",1998-12-16,109,"1","12",349
"38",1999-01-12,75,"1","01",11
"39",1999-02-10,60,"1","02",40
"40",1999-03-04,54,"1","03",62
"41",1999-04-07,78,"1","04",96
"42",1999-05-06,103,"1","05",125
"43",1999-06-08,80,"1","06",158
"44",1999-07-15,92,"1","07",195
"45",1999-08-11,105,"1","08",222
"46",1999-09-14,120,"1","09",256
"47",1999-10-05,122,"1","10",277
"48",1999-11-04,114,"1","11",307
"49",1999-12-07,126,"1","12",340
"50",2000-01-11,81,"1","01",10
"51",2000-02-08,43,"1","02",38
"52",2000-03-09,46,"1","03",68
"53",2000-04-11,53,"1","04",101
"54",2000-05-11,28,"1","05",131
"55",2000-06-06,92,"1","06",157
"56",2000-07-07,48,"1","07",188
"57",2000-08-09,113,"1","08",221
"58",2000-09-12,111,"1","09",255
"59",2000-10-10,124,"1","10",283
