,MLD,N0,PAR,SST,month
1,197.2,7.431,28.93,12.9,1
2,200.4,7.487,29.12,12.88,1
3,203.6,7.543,29.33,12.86,1
4,206.8,7.599,29.54,12.83,1
5,210,7.654,29.78,12.81,1
6,213.2,7.71,30.03,12.78,1
7,216.4,7.766,30.3,12.76,1
8,219.6,7.822,30.58,12.74,1
9,222.8,7.878,30.88,12.71,1
10,226.1,7.933,31.19,12.69,1
11,229.3,7.989,31.53,12.67,1
12,232.5,8.045,31.87,12.64,1
13,235.7,8.101,32.24,12.62,1
14,238.9,8.156,32.62,12.6,1
15,242.1,8.212,33.01,12.57,1
16,250.3,8.356,33.43,12.55,1
17,259.1,8.509,33.86,12.52,1
18,268,8.663,34.3,12.5,1
19,276.8,8.816,34.76,12.47,1
20,285.6,8.969,35.24,12.44,1
21,294.4,9.123,35.74,12.42,1
22,303.2,9.276,36.25,12.39,1
23,312,9.429,36.78,12.36,1
24,320.8,9.583,37.32,12.34,1
25,329.7,9.736,37.88,12.31,1
26,338.5,9.889,38.46,12.28,1
27,347.3,10.04,39.05,12.26,1
28,356.1,10.2,39.66,12.23,1
29,364.9,10.35,40.29,12.2,1
30,373.7,10.5,40.93,12.18,1
31,382.5,10.66,41.59,12.15,1
32,391.4,10.81,42.27,12.12,2
33,400.2,10.96,42.96,12.1,2
34,409,11.12,43.67,12.07,2
35,417.8,11.27,44.4,12.04,2
36,426.6,11.42,45.14,12.01,2
37,435.4,11.58,45.89,11.99,2
38,444.2,11.73,46.67,11.96,2
39,453.1,11.88,47.45,11.93,2
40,461.9,12.04,48.26,11.91,2
41,470.7,12.19,49.08,11.88,2
42,479.5,12.34,49.91,11.85,2
43,488.3,12.5,50.76,11.83,2
44,497.1,12.65,51.63,11.8,2
45,505.9,12.8,52.51,11.77,2
46,510.8,12.89,53.4,11.75,2
47,512.3,12.91,54.31,11.74,2
48,513.5,12.93,55.24,11.74,2
49,514.7,12.96,56.18,11.74,2
50,515.9,12.98,57.13,11.74,2
51,517.1,13,58.1,11.74,2
52,518.3,13.02,59.08,11.75,2
53,519.6,13.04,60.07,11.75,2
54,520.8,13.06,61.08,11.75,2
55,522,13.08,62.1,11.75,2
56,523.2,13.1,63.13,11.75,2
57,524.4,13.12,64.18,11.75,2
58,525.6,13.15,65.24,11.75,2
59,526.8,13.17,66.3,11.76,3
60,528,13.19,67.39,11.76,3
61,529.2,13.21,68.48,11.76,3
62,530.4,13.23,69.58,11.76,3
63,531.7,13.25,70.7,11.76,3
64,532.9,13.27,71.82,11.76,3
65,534.1,13.29,72.95,11.77,3
66,535.3,13.31,74.1,11.77,3
67,536.5,13.33,75.25,11.77,3
68,537.7,13.36,76.42,11.77,3
69,538.9,13.38,77.59,11.77,3
70,540.1,13.4,78.77,11.77,3
71,541.3,13.42,79.95,11.77,3
72,542.5,13.44,81.15,11.78,3
73,543.8,13.46,82.35,11.78,3
74,545,13.48,83.56,11.78,3
75,546.2,13.5,84.78,11.78,3
76,546.3,13.51,86,11.78,3
77,540.8,13.41,87.23,11.79,3
78,534.8,13.3,88.46,11.8,3
79,528.7,13.2,89.7,11.81,3
80,522.6,13.09,90.94,11.82,3
81,516.6,12.99,92.19,11.83,3
82,510.5,12.88,93.44,11.84,3
83,504.4,12.78,94.69,11.86,3
84,498.3,12.67,95.95,11.87,3
85,492.3,12.57,97.21,11.88,3
86,486.2,12.46,98.47,11.89,3
87,480.1,12.35,99.73,11.9,3
88,474.1,12.25,101,11.91,3
89,468,12.14,102.3,11.93,3
90,461.9,12.04,103.5,11.94,4
91,455.9,11.93,104.8,11.95,4
92,449.8,11.83,106,11.96,4
93,443.7,11.72,107.3,11.97,4
94,437.7,11.62,108.6,11.99,4
95,431.6,11.51,109.8,12,4
96,425.5,11.4,111.1,12.01,4
97,419.4,11.3,112.3,12.02,4
98,413.4,11.19,113.6,12.03,4
99,407.3,11.09,114.8,12.04,4
100,401.2,10.98,116.1,12.06,4
101,395.2,10.88,117.3,12.07,4
102,389.1,10.77,118.5,12.08,4
103,383,10.66,119.8,12.09,4
104,377,10.56,121,12.1,4
105,370.9,10.45,122.2,12.12,4
106,364.8,10.35,123.4,12.13,4
107,356.2,10.2,124.6,12.14,4
108,346.6,10.03,125.8,12.17,4
109,336.8,9.86,127,12.2,4
110,327,9.69,128.2,12.23,4
111,317.2,9.52,129.4,12.26,4
112,307.4,9.349,130.5,12.29,4
