"","date","depth","reg","month","yday"
"124",2006-07-04,108,"2","07",184
"125",2006-08-03,72,"2","08",214
"126",2006-09-12,113,"2","09",254
"127",2006-10-10,103,"2","10",282
"128",2006-11-02,124,"2","11",305
"129",2006-12-05,127,"2","12",338
"130",2007-02-06,42,"2","02",36
"131",2007-03-06,35,"2","03",64
"132",2007-04-10,38,"2","04",99
"133",2007-05-08,69,"2","05",127
"134",2007-06-05,126,"2","06",155
"135",2007-07-03,71,"2","07",183
"136",2007-08-07,112,"2","08",218
"137",2007-09-04,121,"2","09",246
"138",2007-10-09,119,"2","10",281
"139",2007-11-30,NA,"2","11",333
"140",2007-12-11,117,"2","12",344
"141",2008-01-10,82,"2","01",9
"142",2008-02-12,75,"2","02",42
"143",2008-03-11,47,"2","03",70
"144",2008-04-08,38,"2","04",98
"145",2008-05-04,87,"2","05",124
"146",2008-06-04,115,"2","06",155
"147",2008-07-08,71,"2","07",189
"148",2008-08-05,106,"2","08",217
"149",2008-09-10,124,"2","09",253
"150",2008-10-10,132,"2","10",283
"151",2008-11-18,123,"2","11",322
"152",2008-12-10,121,"2","12",344
"153",2009-01-13,76,"2","01",12
"154",2009-02-10,104,"2","02",40
"155",2009-03-03,64,"2","03",61
"156",2009-04-07,58,"2","04",96
"157",2009-05-08,45,"2","05",127
"158",2009-06-02,40,"2","06",152
"159",2009-07-14,110,"2","07",194
"160",2009-08-11,80,"2","08",222
"161",2009-09-15,117,"2","09",257
"162",2009-10-06,115,"2","10",278
"163",2009-11-10,130,"2","11",313
"164",2009-12-08,109,"2","12",341
"165",2010-01-12,101,"2","01",11
"166",2010-02-11,27,"2","02",41
"167",2010-03-09,104,"2","03",67
"168",2010-04-07,94,"2","04",96
"169",2010-05-11,113,"2","05",130
"170",2010-06-08,111,"2","06",158
"171",2010-08-04,122,"2","08",215
"172",2010-09-15,117,"2","09",257
"173",2010-10-04,128,"2","10",276
"174",2010-11-09,144,"2","11",312
"175",2010-12-08,105,"2","12",341
